transactionID,age,gender,occupation,visitFrequency,averageSpendPerVisit,howHeardAboutCafe,socialMediaPlatform,customerSatisfactionRating,likelihoodToRecommend,referredOthers,numberOfReferralsMade,attendedSpecialEvents,responseToPromotions
2216,55,Prefer not to say,Retired,Monthly,41.15,Social Media,Facebook,10,4,No,1,Yes,Specialty Drinks
6544,52,Prefer not to say,Other,Monthly,6.85,Word of Mouth,Twitter,5,1,No,3,No,Specialty Drinks
2072,18,Non-binary,Professional,Monthly,37.1,Social Media,Instagram,4,2,Yes,1,No,Specialty Drinks
7603,47,Prefer not to say,Professional,Monthly,36.9,Flyers,Instagram,9,2,No,3,No,Loyalty Rewards
6141,64,Prefer not to say,Professional,Monthly,45.3,Newspaper,Instagram,4,4,No,1,No,Discounts
4840,21,Prefer not to say,Retired,Daily,17.38,Flyers,Instagram,3,3,No,0,Yes,Discounts
6496,45,Female,Student,Monthly,11.07,Word of Mouth,Facebook,8,9,Yes,1,No,Specialty Drinks
9323,58,Male,Professional,Monthly,46.68,Word of Mouth,TikTok,1,9,No,2,No,Specialty Drinks
3100,50,Female,Other,Monthly,33.94,Newspaper,TikTok,9,1,Yes,4,No,Loyalty Rewards
2082,60,Female,Other,Weekly,32.2,Social Media,Twitter,4,4,Yes,1,Yes,Discounts
7980,23,Non-binary,Professional,Weekly,18.63,Social Media,None,5,4,No,3,Yes,Loyalty Rewards
3749,37,Female,Retired,Daily,14.68,Word of Mouth,None,3,10,Yes,0,No,Loyalty Rewards
7230,31,Male,Student,Weekly,41.89,Social Media,TikTok,4,10,Yes,3,No,Discounts
1227,26,Non-binary,Professional,Weekly,30.5,Social Media,Facebook,2,6,Yes,3,No,None
3040,45,Prefer not to say,Professional,Weekly,45.7,Word of Mouth,TikTok,7,9,Yes,3,Yes,Specialty Drinks
2592,48,Prefer not to say,Professional,Daily,32.07,Flyers,Facebook,3,7,Yes,3,Yes,Loyalty Rewards
2197,41,Male,Retired,First-time,14.03,Flyers,Instagram,9,10,Yes,4,No,Specialty Drinks
5098,23,Female,Other,First-time,41.86,Flyers,Facebook,4,5,No,4,No,Specialty Drinks
1606,61,Female,Other,First-time,34.54,Word of Mouth,Instagram,2,6,No,2,Yes,Loyalty Rewards
7281,39,Non-binary,Other,Daily,24.7,Word of Mouth,Twitter,1,9,No,4,Yes,Specialty Drinks
5576,28,Prefer not to say,Retired,First-time,11.2,Word of Mouth,TikTok,7,1,No,3,No,Loyalty Rewards
8012,26,Non-binary,Retired,Monthly,5.95,Word of Mouth,Facebook,5,8,No,0,No,Specialty Drinks
7085,35,Male,Other,First-time,36.87,Social Media,Instagram,3,4,No,2,No,Discounts
2773,60,Male,Student,Monthly,9.36,Social Media,TikTok,2,5,Yes,1,Yes,Specialty Drinks
9899,36,Non-binary,Retired,Weekly,8.79,Newspaper,TikTok,3,5,No,0,Yes,None
2498,50,Prefer not to say,Retired,Monthly,13.8,Newspaper,Facebook,9,10,Yes,1,No,Discounts
3952,60,Non-binary,Professional,Daily,49.34,Word of Mouth,None,4,10,No,3,No,Loyalty Rewards
4158,57,Female,Professional,Monthly,34.93,Flyers,Facebook,4,3,Yes,3,Yes,Specialty Drinks
